prepared_column_id,definition,parent,sort,visible_to,name,created_at,updated_at,created_by,updated_by,table_id,joinable_tables,classifier,description,visible,display_groups,environment,prepared_human_id,filters,output
ff2eade7-65bf-4165-804a-9224a6184934,"[{""id"": ""fact_affiliate_type_order_summary-affiliate_id"", ""name"": ""Affiliate Classic ID"", ""alias"": ""affiliate_type_affiliate_id""}]",acc3318b-f09b-4ebd-a9b7-881955601d5a,1,"[""admin"", ""merchant""]",Affiliate Classic ID,2019-02-08 21:27:08 +00:00,2019-02-08 21:27:08 +00:00,,,fact_affiliate_type_order_summary,,fact,,False,{metrics},EDW2,,,"{
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""message"": {
        ""content"": ""\""Avantmetrics data regarding the Classic ID of an affiliate.\"""",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1698781016,
  ""id"": ""chatcmpl-8FopkkSTb1PItxyrZhinvLggHqnK4"",
  ""model"": ""gpt-4-0613"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 13,
    ""prompt_tokens"": 133,
    ""total_tokens"": 146
  }
}"
09286e80-e38c-49cf-8a15-d0aabc562646,"[{""id"": ""dim_us_holidays-holiday_name"", ""name"": ""US Holiday Name"", ""alias"": ""us_holiday_name""}]",af1a3e2c-a94d-4d19-8f7d-47f7ba9835dc,1,"[""admin"", ""US""]",US Holiday Name,2018-08-02 16:28:46 +00:00,2018-08-02 16:28:46 +00:00,,,dim_order,,dim,"Name of the US holiday, or ""No Holiday"" if none.",False,{performance},EDW2,,,"{
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""message"": {
        ""content"": ""\""US Holiday Name\"" displays the name of the US holiday or \""No Holiday\""."",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1698781019,
  ""id"": ""chatcmpl-8FopntlY262Aw8NsNQX4e3I3Tl4nH"",
  ""model"": ""gpt-4-0613"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 17,
    ""prompt_tokens"": 137,
    ""total_tokens"": 154
  }
}"
278bcf75-c86f-4e06-a7d0-4aaeb9d0892a,"[{""id"": ""dim_affiliate-affiliate_network"", ""name"": ""Affiliate Network"", ""alias"": ""affiliate_network""}]",e999b4c1-d604-4cde-81cc-8fa14196d480,8,"[""merchant"", ""admin"", ""affiliate""]",Affiliate Network,2017-08-29 21:13:02 +00:00,2017-08-29 21:13:02 +00:00,,,dim_affiliate,,dim,"AvantLink has three country specific affiliate networks (Australia, Canada, and the United States).",False,"{performance,metrics}",EDW2,,,"{
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""message"": {
        ""content"": ""AvantLink's country-specific affiliate networks data, included in Avantmetrics."",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1698781025,
  ""id"": ""chatcmpl-8FoptnOo5MktLhSJva1kcdMRfqNK0"",
  ""model"": ""gpt-4-0613"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 16,
    ""prompt_tokens"": 141,
    ""total_tokens"": 157
  }
}"
2daf668f-9178-47e0-919d-e529f599425e,"[{""id"": ""fact_affiliate_type_order_summary-affiliate_website_url"", ""name"": ""Affiliate Default Website"", ""alias"": ""affiliate_type_affiliate_website_url""}]",acc3318b-f09b-4ebd-a9b7-881955601d5a,1,"[""admin"", ""merchant""]",Affiliate Default Website,2019-02-08 21:31:14 +00:00,2019-02-08 21:31:14 +00:00,,,fact_affiliate_type_order_summary,,fact,,False,{metrics},EDW2,,,"{
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""message"": {
        ""content"": ""\""Affiliate Default Website\"" is a feature in Avantmetrics."",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1698781028,
  ""id"": ""chatcmpl-8FopwEHGz0si8Ua075cxBH3xOvp1W"",
  ""model"": ""gpt-4-0613"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 14,
    ""prompt_tokens"": 135,
    ""total_tokens"": 149
  }
}"
47a3fc50-4dbf-4126-a8f0-fd0d3ee73aa8,"[{""id"": ""fact_affiliate_type_order_summary-introducer_count"", ""fact"": true, ""name"": ""Introducer"", ""alias"": ""introducer_count"", ""format"": ""int""}]",eac7d81d-26ee-4d7b-b579-ec60b16650cd,1,"[""admin"", ""merchant""]",Introducer,2019-02-09 13:47:33 +00:00,2019-02-09 13:47:33 +00:00,,,fact_affiliate_type_order_summary,,fact,,True,{metrics},EDW2,,,"{
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""message"": {
        ""content"": ""\""Introducer count in Avantmetrics summarized by affiliate type.\"""",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1698781032,
  ""id"": ""chatcmpl-8Foq0JX59YN81PbMlI7YWmXBXFil1"",
  ""model"": ""gpt-4-0613"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 14,
    ""prompt_tokens"": 143,
    ""total_tokens"": 157
  }
}"
da39cb95-36f2-4035-b63a-2dac94632dad,"[{""id"": ""dim_order_avantlink-order_number"", ""name"": ""Order Number"", ""alias"": ""order_number""}]",6d05167c-55c8-4802-84b7-c15f2c0258ff,4,"[""admin"", ""merchant"", ""affiliate""]",Order Number,2018-08-02 16:28:46 +00:00,2018-08-02 16:28:46 +00:00,,,dim_order,,dim,Merchant order number.,False,{performance},EDW2,,,"{
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""message"": {
        ""content"": ""\""Merchant Order Number tracking data for Avantlink.\"""",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1698781035,
  ""id"": ""chatcmpl-8Foq3UDtbXQywc8qutRIUzgyhJCEs"",
  ""model"": ""gpt-4-0613"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 11,
    ""prompt_tokens"": 123,
    ""total_tokens"": 134
  }
}"
5faa4a3c-a5af-42a6-b438-d45c827ba081,"[{""id"": ""fact_affiliate_type_order_summary-influencer_count"", ""fact"": true, ""name"": ""Influencer"", ""alias"": ""influencer_count"", ""format"": ""int""}]",eac7d81d-26ee-4d7b-b579-ec60b16650cd,1,"[""admin"", ""merchant""]",Influencer,2019-02-09 13:47:33 +00:00,2019-02-09 13:47:33 +00:00,,,fact_affiliate_type_order_summary,,fact,,True,{metrics},EDW2,,,"{
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""message"": {
        ""content"": ""Influencer count data, formatted as an integer, presented in Avantmetrics."",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1698781037,
  ""id"": ""chatcmpl-8Foq5PZpOUbACfpqaLDtwJ4Gakv00"",
  ""model"": ""gpt-4-0613"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 17,
    ""prompt_tokens"": 142,
    ""total_tokens"": 159
  }
}"
6e032164-39f4-4ecf-9399-a9c6733d40f9,"[{""id"": ""calculation"", ""calc"": ""Influencer / count "", ""fact"": true, ""name"": ""Influencer %"", ""vars"": {""count"": {""id"": ""fact_affiliate_type_order_summary-total_count"", ""alias"": ""fact_affiliate_type_order_summary-total_count-03"", ""required_groups"": [""fact_affiliate_type_order_summary-total_count-03""]}, ""Influencer"": {""id"": ""fact_affiliate_type_order_summary-influencer_count"", ""alias"": ""fact_affiliate_type_order_summary-influencer_count-01"", ""required_groups"": [""fact_affiliate_type_order_summary-influencer_count-01""]}}, ""alias"": ""influencer_percentage"", ""format"": ""percent""}]",eac7d81d-26ee-4d7b-b579-ec60b16650cd,1,"[""admin"", ""merchant""]",Influencer %,2019-02-09 13:47:33 +00:00,2019-02-09 13:47:33 +00:00,,,fact_affiliate_type_order_summary,,fact,,True,{metrics},EDW2,,,"{
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""message"": {
        ""content"": ""\""Percentage of influencers in Avantmetrics affiliated orders summary.\"""",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1698781041,
  ""id"": ""chatcmpl-8Foq944VmrTKNccCmRuhPCdIiiTBs"",
  ""model"": ""gpt-4-0613"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 12,
    ""prompt_tokens"": 252,
    ""total_tokens"": 264
  }
}"
70bf8422-03f9-4f20-a8ad-764bc9447baf,"[{""id"": ""fact_order_channel_summary-order_count"", ""fact"": true, ""name"": ""Orders"", ""alias"": ""channel_summary_order_count"", ""aggregate"": [{""func"": ""sum"", ""distinct"": false}]}]",acc3318b-f09b-4ebd-a9b7-881955601d5a,1,"[""admin"", ""merchant""]",Orders,2019-02-08 20:38:35 +00:00,2019-02-08 20:38:35 +00:00,,,fact_order_channel_summary,,fact,,True,{metrics},EDW2,,,"{
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""message"": {
        ""content"": ""Sum of distinct Avantmetrics Orders."",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1698781111,
  ""id"": ""chatcmpl-8ForHkssxl7TbaZxAxZHTUPXLPJY5"",
  ""model"": ""gpt-4-0613"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 8,
    ""prompt_tokens"": 142,
    ""total_tokens"": 150
  }
}"
121e65d9-674d-454e-9bc5-f28439275d96,"[{""id"": ""fact_order_channel_summary-marketing_channel"", ""name"": ""Marketing Channel"", ""alias"": ""channel_summary_marketing_channel""}]",eac7d81d-26ee-4d7b-b579-ec60b16650cd,1,"[""admin"", ""merchant""]",Marketing Channel ,2019-02-08 19:45:55 +00:00,2019-02-08 19:45:55 +00:00,,,fact_order_channel_summary,,fact,,True,{metrics},EDW2,,,"{
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""message"": {
        ""content"": ""Avantmetrics data regarding the Marketing Channel summary."",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1698781112,
  ""id"": ""chatcmpl-8ForIy7gAFfijGPZY3wZcWd2otON3"",
  ""model"": ""gpt-4-0613"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 10,
    ""prompt_tokens"": 126,
    ""total_tokens"": 136
  }
}"
ff2eade7-65bf-4165-804a-9224a6184934,"[{""id"": ""fact_affiliate_type_order_summary-affiliate_id"", ""name"": ""Affiliate Classic ID"", ""alias"": ""affiliate_type_affiliate_id""}]",acc3318b-f09b-4ebd-a9b7-881955601d5a,1,"[""admin"", ""merchant""]",Affiliate Classic ID,2019-02-08 21:27:08 +00:00,2019-02-08 21:27:08 +00:00,,,fact_affiliate_type_order_summary,,fact,,False,{metrics},EDW2,,,"{
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""message"": {
        ""content"": ""\""Avantmetrics data related to the Affiliate Classic ID.\"""",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1698781115,
  ""id"": ""chatcmpl-8ForLrWcSQ34Vf4dScd3nBRdrkyqE"",
  ""model"": ""gpt-4-0613"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 12,
    ""prompt_tokens"": 133,
    ""total_tokens"": 145
  }
}"
09286e80-e38c-49cf-8a15-d0aabc562646,"[{""id"": ""dim_us_holidays-holiday_name"", ""name"": ""US Holiday Name"", ""alias"": ""us_holiday_name""}]",af1a3e2c-a94d-4d19-8f7d-47f7ba9835dc,1,"[""admin"", ""US""]",US Holiday Name,2018-08-02 16:28:46 +00:00,2018-08-02 16:28:46 +00:00,,,dim_order,,dim,"Name of the US holiday, or ""No Holiday"" if none.",False,{performance},EDW2,,,"{
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""message"": {
        ""content"": ""\""US Holiday Name\"" is used to identify American holidays or non-holiday dates."",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1698781117,
  ""id"": ""chatcmpl-8ForN4uq37TGEisaoE7o4UQqxsLq7"",
  ""model"": ""gpt-4-0613"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 17,
    ""prompt_tokens"": 137,
    ""total_tokens"": 154
  }
}"
278bcf75-c86f-4e06-a7d0-4aaeb9d0892a,"[{""id"": ""dim_affiliate-affiliate_network"", ""name"": ""Affiliate Network"", ""alias"": ""affiliate_network""}]",e999b4c1-d604-4cde-81cc-8fa14196d480,8,"[""merchant"", ""admin"", ""affiliate""]",Affiliate Network,2017-08-29 21:13:02 +00:00,2017-08-29 21:13:02 +00:00,,,dim_affiliate,,dim,"AvantLink has three country specific affiliate networks (Australia, Canada, and the United States).",False,"{performance,metrics}",EDW2,,,"{
  ""choices"": [
    {
      ""finish_reason"": ""stop"",
      ""index"": 0,
      ""message"": {
        ""content"": ""\""AvantLink's country specific affiliate networks data from AvantMetrics\"""",
        ""role"": ""assistant""
      }
    }
  ],
  ""created"": 1698781121,
  ""id"": ""chatcmpl-8ForRsZ0ihujsK5odyzRAmqbiD6X8"",
  ""model"": ""gpt-4-0613"",
  ""object"": ""chat.completion"",
  ""usage"": {
    ""completion_tokens"": 15,
    ""prompt_tokens"": 141,
    ""total_tokens"": 156
  }
}"
