prepared_column_id,definition,parent,sort,visible_to,name,created_at,updated_at,created_by,updated_by,table_id,joinable_tables,classifier,description,visible,display_groups,environment,prepared_human_id,filters
70bf8422-03f9-4f20-a8ad-764bc9447baf,"[{""id"": ""fact_order_channel_summary-order_count"", ""fact"": true, ""name"": ""Orders"", ""alias"": ""channel_summary_order_count"", ""aggregate"": [{""func"": ""sum"", ""distinct"": false}]}]",acc3318b-f09b-4ebd-a9b7-881955601d5a,1,"[""admin"", ""merchant""]",Orders,2019-02-08 20:38:35 +00:00,2019-02-08 20:38:35 +00:00,,,fact_order_channel_summary,,fact,,true,{metrics},EDW2,,
121e65d9-674d-454e-9bc5-f28439275d96,"[{""id"": ""fact_order_channel_summary-marketing_channel"", ""name"": ""Marketing Channel"", ""alias"": ""channel_summary_marketing_channel""}]",eac7d81d-26ee-4d7b-b579-ec60b16650cd,1,"[""admin"", ""merchant""]",Marketing Channel ,2019-02-08 19:45:55 +00:00,2019-02-08 19:45:55 +00:00,,,fact_order_channel_summary,,fact,,true,{metrics},EDW2,,
ff2eade7-65bf-4165-804a-9224a6184934,"[{""id"": ""fact_affiliate_type_order_summary-affiliate_id"", ""name"": ""Affiliate Classic ID"", ""alias"": ""affiliate_type_affiliate_id""}]",acc3318b-f09b-4ebd-a9b7-881955601d5a,1,"[""admin"", ""merchant""]",Affiliate Classic ID,2019-02-08 21:27:08 +00:00,2019-02-08 21:27:08 +00:00,,,fact_affiliate_type_order_summary,,fact,,false,{metrics},EDW2,,
09286e80-e38c-49cf-8a15-d0aabc562646,"[{""id"": ""dim_us_holidays-holiday_name"", ""name"": ""US Holiday Name"", ""alias"": ""us_holiday_name""}]",af1a3e2c-a94d-4d19-8f7d-47f7ba9835dc,1,"[""admin"", ""US""]",US Holiday Name,2018-08-02 16:28:46 +00:00,2018-08-02 16:28:46 +00:00,,,dim_order,,dim,"Name of the US holiday, or ""No Holiday"" if none.",false,{performance},EDW2,,
278bcf75-c86f-4e06-a7d0-4aaeb9d0892a,"[{""id"": ""dim_affiliate-affiliate_network"", ""name"": ""Affiliate Network"", ""alias"": ""affiliate_network""}]",e999b4c1-d604-4cde-81cc-8fa14196d480,8,"[""merchant"", ""admin"", ""affiliate""]",Affiliate Network,2017-08-29 21:13:02 +00:00,2017-08-29 21:13:02 +00:00,,,dim_affiliate,,dim,"AvantLink has three country specific affiliate networks (Australia, Canada, and the United States).",false,"{performance,metrics}",EDW2,,
2daf668f-9178-47e0-919d-e529f599425e,"[{""id"": ""fact_affiliate_type_order_summary-affiliate_website_url"", ""name"": ""Affiliate Default Website"", ""alias"": ""affiliate_type_affiliate_website_url""}]",acc3318b-f09b-4ebd-a9b7-881955601d5a,1,"[""admin"", ""merchant""]",Affiliate Default Website,2019-02-08 21:31:14 +00:00,2019-02-08 21:31:14 +00:00,,,fact_affiliate_type_order_summary,,fact,,false,{metrics},EDW2,,
47a3fc50-4dbf-4126-a8f0-fd0d3ee73aa8,"[{""id"": ""fact_affiliate_type_order_summary-introducer_count"", ""fact"": true, ""name"": ""Introducer"", ""alias"": ""introducer_count"", ""format"": ""int""}]",eac7d81d-26ee-4d7b-b579-ec60b16650cd,1,"[""admin"", ""merchant""]",Introducer,2019-02-09 13:47:33 +00:00,2019-02-09 13:47:33 +00:00,,,fact_affiliate_type_order_summary,,fact,,true,{metrics},EDW2,,
da39cb95-36f2-4035-b63a-2dac94632dad,"[{""id"": ""dim_order_avantlink-order_number"", ""name"": ""Order Number"", ""alias"": ""order_number""}]",6d05167c-55c8-4802-84b7-c15f2c0258ff,4,"[""admin"", ""merchant"", ""affiliate""]",Order Number,2018-08-02 16:28:46 +00:00,2018-08-02 16:28:46 +00:00,,,dim_order,,dim,Merchant order number.,false,{performance},EDW2,,
5faa4a3c-a5af-42a6-b438-d45c827ba081,"[{""id"": ""fact_affiliate_type_order_summary-influencer_count"", ""fact"": true, ""name"": ""Influencer"", ""alias"": ""influencer_count"", ""format"": ""int""}]",eac7d81d-26ee-4d7b-b579-ec60b16650cd,1,"[""admin"", ""merchant""]",Influencer,2019-02-09 13:47:33 +00:00,2019-02-09 13:47:33 +00:00,,,fact_affiliate_type_order_summary,,fact,,true,{metrics},EDW2,,
6e032164-39f4-4ecf-9399-a9c6733d40f9,"[{""id"": ""calculation"", ""calc"": ""Influencer / count "", ""fact"": true, ""name"": ""Influencer %"", ""vars"": {""count"": {""id"": ""fact_affiliate_type_order_summary-total_count"", ""alias"": ""fact_affiliate_type_order_summary-total_count-03"", ""required_groups"": [""fact_affiliate_type_order_summary-total_count-03""]}, ""Influencer"": {""id"": ""fact_affiliate_type_order_summary-influencer_count"", ""alias"": ""fact_affiliate_type_order_summary-influencer_count-01"", ""required_groups"": [""fact_affiliate_type_order_summary-influencer_count-01""]}}, ""alias"": ""influencer_percentage"", ""format"": ""percent""}]",eac7d81d-26ee-4d7b-b579-ec60b16650cd,1,"[""admin"", ""merchant""]",Influencer %,2019-02-09 13:47:33 +00:00,2019-02-09 13:47:33 +00:00,,,fact_affiliate_type_order_summary,,fact,,true,{metrics},EDW2,,
930bfe79-3e79-425a-bf2d-c9f17c4aa635,"[{""id"": ""dim_affiliate-affiliate_zip"", ""name"": ""Affiliate Zip Code"", ""alias"": ""affiliate_zip""}]",545f89b1-393e-4182-865a-4a33c97e9125,3,"[""merchant"", ""admin"", ""affiliate""]",Affiliate Zip Code,2018-06-16 00:44:52 +00:00,2018-06-16 00:44:52 +00:00,,,dim_affiliate,,dim,The zip code associated to the affiliate's account.,false,"{performance,metrics}",EDW2,,
ffeb8c39-8e8e-47f0-975a-851881fada60,"[{""id"": ""dim_affiliate-affiliate_state"", ""name"": ""Affiliate State"", ""alias"": ""affiliate_state""}]",545f89b1-393e-4182-865a-4a33c97e9125,2,"[""merchant"", ""admin"", ""affiliate""]",Affiliate State,2018-06-16 00:44:52 +00:00,2018-06-16 00:44:52 +00:00,,,dim_affiliate,,dim,The state associated to the affiliate's account.,false,"{performance,metrics}",EDW2,,
952a0d0d-5ec5-4ebb-90cd-fcac66fec8b3,"[{""id"": ""pk_picker-picker_name"", ""name"": ""Picker Name"", ""alias"": ""picker_name""}]",7620cd62-abee-4d89-9533-a61ba2ccf6c7,6,"[""3f6ad03b-7a38-44f5-8c8f-485c7f621692"", ""f4d3839e-9a76-411c-8110-b2374af3953a"", ""3e76c175-b5cb-4acc-9910-74fd7f82cc1d""]",Picker Name,2017-08-29 21:13:02 +00:00,2017-08-29 21:13:02 +00:00,,,pk_picker,,dim,Use this to distinguish between production and development pickers,false,{performance},EDW2,,
75946590-7328-4306-8212-6fcdb289c09c,"[{""id"": ""dim_affiliate-affiliate_country"", ""name"": ""Affiliate Country"", ""alias"": ""affiliate_country""}]",545f89b1-393e-4182-865a-4a33c97e9125,4,"[""merchant"", ""admin"", ""affiliate""]",Affiliate Country,2018-06-16 00:44:52 +00:00,2018-06-16 00:44:52 +00:00,,,dim_affiliate,,dim,The country associated to the affiliate's account.,false,"{performance,metrics}",EDW2,,
84a74928-9285-4617-a7a7-b2f670bae5aa,"[{""id"": ""affiliate_type_order-affiliate_type"", ""name"": ""Referral Group"", ""alias"": ""affiliate_type""}]",eac7d81d-26ee-4d7b-b579-ec60b16650cd,1,"[""admin"", ""merchant""]",Referral Group,2019-02-04 22:39:31 +00:00,2019-02-04 22:39:31 +00:00,,,affiliate_type_order,,fact,,true,{metrics},EDW2,,
8e7f18f3-16d8-4c18-a9cc-ca4707894255,"[{""id"": ""dim_affiliate-affiliate_city"", ""name"": ""Affiliate City"", ""alias"": ""affiliate_city""}]",545f89b1-393e-4182-865a-4a33c97e9125,1,"[""merchant"", ""admin"", ""affiliate""]",Affiliate City,2018-06-16 00:44:52 +00:00,2018-06-16 00:44:52 +00:00,,,dim_affiliate,,dim,The city associated to the affiliate's account.,false,"{performance,metrics}",EDW2,,
05ba72f4-aed8-4045-97b3-9d291335d861,"[{""id"": ""dim_merchant-merchant_uuid"", ""name"": ""Merchant UUID"", ""alias"": ""merchant_uuid""}]",757e230e-ef59-420d-b544-ecbffc428654,5,"[""admin"", ""merchant"", ""affiliate""]",Merchant UUID,2017-08-29 21:13:02 +00:00,2017-08-29 21:13:02 +00:00,,,dim_merchant,,dim,Unique ID associated to a merchant account (Dashboard platform).,false,"{performance,metrics}",EDW2,,
3fa174b7-29de-4b34-adcd-9965c42ea0bd,"[{""id"": ""dim_merchant-merchant_id"", ""name"": ""Merchant Classic ID"", ""alias"": ""merchant_classic_id""}]",757e230e-ef59-420d-b544-ecbffc428654,2,"[""admin"", ""merchant"", ""affiliate""]",Merchant Classic ID,2017-08-29 21:13:02 +00:00,2017-08-29 21:13:02 +00:00,,,dim_merchant,,dim,Unique ID associated to a merchant account (Classic platform).,false,"{performance,metrics}",EDW2,,
c0f7c59a-f564-48d8-bab7-5d26005a25e3,"[{""id"": ""dim_merchant-merchant_url"", ""name"": ""Merchant URL"", ""alias"": ""merchant_url""}]",757e230e-ef59-420d-b544-ecbffc428654,4,"[""admin"", ""merchant"", ""affiliate""]",Merchant URL,2017-08-29 21:13:02 +00:00,2017-08-29 21:13:02 +00:00,,,dim_merchant,,dim,Merchant website address.,false,"{performance,metrics}",EDW2,,
f855a18a-ffa0-43aa-916a-ee43f0f52ea2,"[{""id"": ""dim_date-month_name"", ""name"": ""Month Name"", ""alias"": ""month_name""}]",79418be0-edc6-4e93-8675-6b32fc5d5e4f,8,"[""admin"", ""merchant"", ""affiliate""]",Month Name,2017-08-29 21:13:02 +00:00,2017-08-29 21:13:02 +00:00,,,dim_date,,dim,Month name without the year. Useful for Year over Year comparisons.,false,"{performance,metrics}",EDW2,,
c48f2f29-b3f1-4a09-aab1-fb29a196ea8d,"[{""id"": ""dim_date-day_of_week_name"", ""name"": ""Day of Week"", ""alias"": ""day_of_week""}]",79418be0-edc6-4e93-8675-6b32fc5d5e4f,2,"[""admin"", ""merchant"", ""affiliate""]",Day of Week,2017-08-29 21:13:02 +00:00,2017-08-29 21:13:02 +00:00,,,dim_date,,dim,"Day based on Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday format.",false,"{performance,metrics}",EDW2,,
71aa7544-81e5-47ab-a4d2-25e44bf6acc7,"[{""id"": ""dim_date-year_number"", ""name"": ""Year"", ""alias"": ""year_number""}]",79418be0-edc6-4e93-8675-6b32fc5d5e4f,10,"[""admin"", ""merchant"", ""affiliate""]",Year,2017-08-29 21:13:02 +00:00,2017-08-29 21:13:02 +00:00,,,dim_date,,dim,YYYY format.,true,"{performance,metrics}",EDW2,,
f0e99037-a577-4bf2-b918-b3a7a812b4b2,"[{""id"": ""dim_date-month_day"", ""name"": ""Day and Month"", ""alias"": ""day_and_month""}]",79418be0-edc6-4e93-8675-6b32fc5d5e4f,4,"[""admin"", ""merchant"", ""affiliate""]",Day and Month,2017-08-29 21:13:02 +00:00,2017-08-29 21:13:02 +00:00,,,dim_date,,dim,Day and month without the year. Useful for Year over Year comparisons,false,"{performance,metrics}",EDW2,,
